Name,TEAM,ADP,ADP_TREND,PRIMARY_POS,SECONDARY_POS
Marcus Georges-Hunt,Bos,140,0,SG,
Erik McCree,Utah,140,0,SF,
Anthony Morrow,Por,140,0,SG,
Alexis Ajinca,LAC,140,0,C,
Isaiah Taylor,Tor,140,0,PG,
Gerald Henderson,Phi,140,0,SG,
Chuck Hayes,Hou,140,0,PF,
Dewan Hernandez,Tor,140,0,C,
James Ennis III,Phi,140,0,SF,
Arturas Gudaitis,Cle,140,0,C,
Andrew White III,Atl,140,0,SG,
Amir Johnson,Phi,140,0,C,
Drew Gooden,Wsh,140,0,PF,
Josh Gray,NO,140,0,PG,
Lamar Patterson,Atl,140,0,SG,
Steve Novak,Mil,140,0,PF,
Johnny O'Bryant III,NY,140,0,PF,
Isaiah Hicks,NY,140,0,PF,
Damion Lee,GS,140,0,SG,
Darrun Hilliard,SA,140,0,SF,
Matt Barnes,GS,140,0,SF,
Tyreke Evans,Ind,140,0,SG,
Jarrett Jack,NO,140,0,PG,
Jordan Crawford,NO,140,0,SG,
Roy Hibbert,Den,140,0,C,
Shabazz Muhammad,Mil,140,0,SF,
Jarrod Uthoff,Ind,140,0,PF,
Angel Delgado,LAC,140,0,C,
Rawle Alkins,Chi,140,0,SG,
Shayne Whittington,Ind,140,0,C,
Ryan Hollins,Wsh,140,0,C,
Deividas Sirvydis,Det,140,0,SF,
David Wear,Sac,140,0,PF,
Gary Payton II,Wsh,140,0,PG,
Louis Labeyrie,FA,140,0,PF,
Gary Neal,Atl,140,0,PG,
Eric Moreland,OKC,140,0,PF,
Briante Weber,Mia,140,0,PG,
Jaron Blossomgame,Hou,140,0,SF,
Mike James,NO,140,0,PG,
DJ Stephens,Mem,140,0,SG,
Aaron White,Wsh,140,0,SF,
Greg Smith,Min,140,0,C,
Bryce Cotton,Mem,140,0,SG,
Tibor Pleiss,Phi,140,0,C,
Georges Niang,Utah,140,0,PF,
Bonzie Colson,Mil,140,0,PF,
Lorenzo Brown,Tor,140,0,SG,PG
DeAndre Daniels,FA,140,0,SF,
Leandro Barbosa,Phx,140,0,SG,
Archie Goodwin,Por,140,0,SG,
Deyonta Davis,Hou,140,0,C,
Nick Collison,OKC,140,0,PF,
Terance Mann,LAC,140,0,SF,
Jeff Ayres,LAC,140,0,PF,
Marial Shayok,Phi,140,0,SG,
Michael Cobbins,OKC,140,0,PF,
Aaron Craft,FA,140,0,SG,
Andrea Bargnani,Bkn,140,0,PF,
Haywood Highsmith,Phi,140,0,SF,
Cole Aldrich,Atl,140,0,C,
Russ Smith,Mem,140,0,PG,
Gian Clavell,Dal,140,0,SG,
Matt Williams Jr.,Mia,140,0,SG,
Xavier Munford,Mil,140,0,SG,
Jordan Adams,Mem,140,0,SG,
Kosta Koufos,Sac,140,0,C,
Isaiah Cousins,Utah,140,0,SG,
Devin Robinson,Tor,140,0,SF,
Jabari Bird,Atl,140,0,SG,
Cameron Payne,Tor,140,0,PG,
Miye Oni,Utah,140,0,SG,
Travis Wear,LAL,140,0,SF,
Shane Larkin,Bos,140,0,PG,
David Michineau,LAC,140,0,SG,
Sam Dekker,Wsh,140,0,PF,
Justin Hamilton,Bkn,140,0,C,
Vander Blue,LAL,140,0,SG,
Cliff Alexander,NO,140,0,PF,
Milton Doyle,Chi,140,0,SG,
Derrick Walton Jr.,LAC,140,0,PG,
Mindaugas Kuzminskas,NY,140,0,PF,
Duje Dukan,Sac,140,0,PF,
Troy Daniels,LAL,140,0,SG,
Josh Magette,Orl,140,0,PG,
Marcus Thornton,Cle,140,0,SG,
Markel Brown,OKC,140,0,SG,
Salah Mejri,Dal,140,0,C,
Hollis Thompson,Sac,140,0,SF,
Billy Garrett Jr.,NY,140,0,SG,
Alfonzo McKinnie,GS,140,0,SF,
Rodney McGruder,LAC,140,0,SG,
Alex Abrines,OKC,140,0,SG,
Jalen McDaniels,Cha,140,0,PF,SF
Dante Cunningham,SA,140,0,PF,SF
Jonathan Gibson,Bos,140,0,PG,
Tony Snell,Det,140,0,SG,
Larry Drew II,Det,140,0,SG,
Walt Lemon Jr.,Ind,140,0,PG,
Keita Bates-Diop,Min,140,0,SF,
Sergio Rodriguez,Phi,140,0,PG,
Michael Carter-Williams,Orl,140,0,PG,
Dimitrios Agravanis,Sac,140,0,PF,
Jawun Evans,OKC,140,0,PG,
David Lee,SA,140,0,PF,
Jeremy Evans,Atl,140,0,SF,
Jonathon Simmons,Wsh,140,0,SF,
Eric Atkins,Utah,140,0,PG,
Georgios Papagiannis,Por,140,0,C,
Ben Bentil,Dal,140,0,PF,
Nazr Mohammed,OKC,140,0,C,
Drew Gordon,Phi,140,0,PF,
Carl Landry,Phi,140,0,PF,
Brandon Jennings,Mil,140,0,PG,
Brandon Sampson,Chi,140,0,SG,
Alex Kirk,Cle,140,0,C,
Troy Caupain,Por,140,0,SG,
London Perrantes,Por,140,0,PG,
George King,Phx,140,0,SF,
Terrence Jones,Hou,140,0,PF,
Chase Budinger,Bkn,140,0,SF,
J.P. Tokoto,NY,140,0,SG,
Chris Andersen,Cle,140,0,C,
Mario Chalmers,Mem,140,0,PG,
Phil Pressey,GS,140,0,PG,
Tyler Hansbrough,Cha,140,0,PF,
Marquis Teague,Mem,140,0,PG,
Matt Costello,SA,140,0,PF,
Wes Iwundu,Orl,140,0,SF,
Adreian Payne,Orl,140,0,PF,
Chris Chiozza,Wsh,140,0,PG,
Marcus Derrickson,Atl,140,0,SF,
Solomon Hill,Mem,140,0,SF,
Brandon Paul,SA,140,0,SG,
Tyler Lydon,Sac,140,0,PF,
DeVaughn Akoon-Purcell,OKC,140,0,SG,
Wayne Ellington,NY,140,0,SG,
Vanja Marinkovic,Sac,140,0,SG,
Wenyen Gabriel,Sac,140,0,PF,
Michael Gbinije,GS,140,0,SG,
James Webb III,Bkn,140,0,PF,
Lavoy Allen,Wsh,140,0,PF,
Alec Peters,Phx,140,0,PF,
Andre Roberson,OKC,140,0,SG,
Rodney Stuckey,Ind,140,0,SG,
Nikola Radicevic,Den,140,0,PG,
Timothe Luwawu-Cabarrot,Cle,140,0,SF,
Coty Clarke,Bos,140,0,PF,
Pierre Jackson,Dal,140,0,PG,
Vlatko Cancar,Den,140,0,SF,
Moritz Wagner,Wsh,140,0,PF,
Sean Kilpatrick,Chi,140,0,SG,
Orlando Johnson,Mil,140,0,SG,
Joe Chealey,Cha,140,0,PG,
Jared Sullinger,Phx,140,0,C,
BJ Johnson,Orl,140,0,SF,
Ray Spalding,Hou,140,0,PF,
Arinze Onuaku,Orl,140,0,PF,
Lance Thomas,Bkn,140,0,PF,
Caleb Swanigan,Sac,140,0,PF,
James Michael McAdoo,Phi,140,0,PF,
Elijah Millsap,Den,140,0,SG,
Patrick Patterson,LAC,140,0,PF,
Alec Brown,FA,140,0,C,
Jemerrio Jones,Wsh,140,0,SF,
James Jones,Cle,140,0,SF,
Jameel Warney,Dal,140,0,PF,
Julian Washburn,GS,140,0,SF,
Kay Felder,Tor,140,0,PG,
Rodney Purvis,Mia,140,0,SG,
Antonius Cleveland,Dal,140,0,SG,
Amile Jefferson,Orl,140,0,PF,
Marcus Thornton,Bkn,140,0,SG,
Chinanu Onuaku,Por,140,0,PF,
Jason Smith,NO,140,0,C,
Dusty Hannahs,Mem,140,0,SG,
Arron Afflalo,Orl,140,0,SG,
Treveon Graham,Min,140,0,SF,
Aaron Harrison,Dal,140,0,SG,
Mike Tobey,Cha,140,0,C,
Sonny Weems,Phi,140,0,SG,
KJ McDaniels,OKC,140,0,SF,
Edy Tavares,Cle,140,0,C,
Jon Leuer,Mil,140,0,PF,
Furkan Aldemir,Phi,140,0,PF,
Joel Berry II,LAL,140,0,PG,
Guerschon Yabusele,Bos,140,0,PF,
Troy Williams,Sac,140,0,SF,
Kevin Hervey,OKC,140,0,SF,
James Anderson,Sac,140,0,SG,
Kendall Marshall,Mil,140,0,PG,
Jamel Artis,LAC,140,0,SG,
Kevin Martin,SA,140,0,SG,
Chris Johnson,Hou,140,0,SF,
Devon Hall,OKC,140,0,PG,
Marquese Chriss,GS,140,0,PF,
Elie Okobo,Phx,140,0,PG,
Mathias Lessort,LAC,140,0,PF,
Al Jefferson,Ind,140,0,C,
Kirk Hinrich,Atl,140,0,SG,
Justin Anderson,Wsh,140,0,SF,
J.J. O'Brien,Mil,140,0,SF,
Torrey Craig,Den,140,0,SF,
Nikola Milutinov,SA,140,0,C,
Andre Dawkins,Bos,140,0,SG,
Tyrone Wallace,Min,140,0,PG,
Willie Reed,Chi,140,0,C,
Cory Jefferson,Phi,140,0,PF,
Josh McRoberts,Dal,140,0,PF,
James Nunnally,Hou,140,0,SG,
Jordan Farmar,Sac,140,0,PG,
Malik Newman,Mia,140,0,SG,
Tony Bradley,Utah,140,0,C,
Will Cherry,GS,140,0,SG,
Lucas Nogueira,Tor,140,0,C,
Khem Birch,Orl,140,0,C,
Myke Henry,OKC,140,0,SF,
Naz Mitrou-Long,Ind,140,0,SG,
Malcolm Delaney,Atl,140,0,PG,
Brandon Bass,LAC,140,0,PF,
